Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1.000000000000000000e+00,2.213209808730979000e-01,6.047743238591735300e-03,2.873884316800667804e-01,5.712990248930914505e-02,1.146858873967065290e-01,7.640534978420272794e-02,1.905808598154939137e-01,1.014762908170869712e-02,1.307311416451217498e-02,2.322010147631038343e-02
2.000000000000000000e+00,5.345100282519440332e-02,1.242317733783044904e-03,1.655815700393171719e-01,1.940210513917442758e-01,2.257010159071978772e-01,1.099880199722723384e-02,2.296739662936645998e-01,2.446502205697402219e-02,8.146505173768711638e-02,1.340020001721025332e-02
3.000000000000000000e+00,6.524830152204317280e-01,6.270157019885566445e-03,5.622186098999594484e-03,2.989293614289353397e-03,1.042107605659642333e-01,1.776484992448399552e-02,6.387206865663774824e-02,7.931565840195284323e-02,2.610593036799017854e-03,6.486141746055593127e-02
4.000000000000000000e+00,9.311873268108931123e-01,2.052538207748982879e-02,9.854722822736044011e-03,8.269288115474237937e-05,1.233194954953484648e-02,9.905228080006639631e-04,7.358152598319392043e-03,7.637071990395469245e-03,8.676653477416374546e-04,9.164513113734293684e-03
5.000000000000000000e+00,8.567761195938707885e-01,8.168966082278359200e-03,7.213582956938251363e-03,2.888770452548932062e-03,6.865093764056136132e-03,6.738552318323176582e-02,7.246424297799836448e-03,2.355424730471294276e-02,1.890327778561089536e-03,1.801094458600189727e-02
6.000000000000000000e+00,3.315642367409948332e-01,2.465960012115722168e-03,7.845054222467772245e-03,1.464334374433018914e-02,2.535370439340196569e-01,9.050859143525022410e-02,6.604796273201286871e-02,2.201272758987394551e-01,7.444184695437341352e-04,1.251611281052553495e-02
7.000000000000000000e+00,2.492820529648311079e-01,1.074134691119831876e-02,3.542861502881989449e-02,1.027345939465813124e-01,3.321107953723928530e-01,1.043287331912189086e-01,7.732580701939188728e-02,1.809689339152636273e-02,5.195008569361189016e-02,1.800107648042761910e-02
8.000000000000000000e+00,6.032751347141297460e-01,3.455465248731277774e-03,9.303934508163132699e-04,1.213761717723419765e-02,1.923311146980886122e-01,9.226352514981986039e-03,4.699954429246677723e-02,1.023641153197560189e-01,3.509328760243431069e-03,2.577093382355167758e-02
9.000000000000000000e+00,8.310892827846233510e-01,8.692850670741797837e-04,1.901678856242846466e-02,2.423210443233689629e-03,7.680770366266946592e-02,1.978320276877209086e-02,2.307592241934946359e-02,1.559444601138896234e-02,1.787135139735938124e-03,9.553023140724479709e-03
1.000000000000000000e+01,6.804184643479873618e-01,1.886882211554470057e-01,1.670071248315255913e-02,7.602585273128419432e-03,2.021073846689824122e-02,1.296943200962921358e-02,1.505125958507796090e-02,3.272517158943356874e-02,1.102632107001739331e-02,1.460709401922825369e-02
1.100000000000000000e+01,7.904064707874867146e-01,7.766079477239720349e-03,8.355692035438417459e-03,2.058742576664703092e-03,6.684553630486063380e-02,4.067815931804084906e-02,5.872676838854871267e-02,1.751408719001253805e-02,3.773183999319338917e-04,7.271145521775738627e-03
1.200000000000000000e+01,3.691595783021583282e-02,6.887618071214001792e-04,1.313588064823116019e-01,9.436114911770512870e-02,3.830909663106585872e-01,3.282228677267520593e-03,1.476052335827673923e-01,6.762860821819220714e-02,1.666005625420941298e-03,1.334022823483394515e-01
1.300000000000000000e+01,8.725524047929793525e-01,5.208454755581670530e-03,2.071912878841468408e-02,1.725713695766615359e-03,1.664076837164187375e-02,3.201938173539918553e-02,1.439594093519391479e-02,2.998479063310023097e-03,4.661615518267498391e-03,2.907811234344509499e-02
1.400000000000000000e+01,2.010686664208722885e-01,2.328049069243011936e-03,1.641412694937092326e-02,1.778971742257328958e-01,2.297150858464462042e-01,8.647099324033112946e-03,1.803410424377566157e-02,1.910615500678755629e-01,1.735965098030710710e-02,1.374744928723432014e-01
1.500000000000000000e+01,3.409177673459913294e-01,1.562227532541794750e-02,1.165565291892021104e-03,4.004900912469020469e-01,9.593819106040449296e-02,8.198895670150652126e-02,3.759517077853158362e-02,9.711312923935266558e-03,1.538063970654391819e-03,1.503260535476437162e-02
1.600000000000000000e+01,4.510006767706868369e-01,2.754519831244237049e-02,1.640504602395039327e-03,3.113863641180370651e-02,1.201923197045582092e-01,2.276800421065687183e-02,8.613947645600086855e-02,2.196940850864796402e-01,2.346374961359262625e-03,3.753472348361712452e-02
1.700000000000000000e+01,3.618635469724513776e-01,3.258142074740362493e-02,1.925929383090875802e-01,2.460834182775147039e-02,1.998825743556570389e-01,6.767129028535244506e-02,5.328844565136377914e-02,2.062331212752512369e-02,2.969897481606087464e-02,1.718915490734668552e-02
1.800000000000000000e+01,9.529138108597541290e-01,7.498514199929008639e-03,1.827965221879567989e-02,4.652485707387387829e-05,2.058893423084145417e-03,1.541743507278586257e-02,1.460852404793803842e-03,4.910026782099471184e-04,2.500543409451494339e-04,1.583259944628338496e-03
1.900000000000000000e+01,1.641858692877557757e-01,8.410785990137104734e-04,4.719472214929089082e-01,1.313194521427001916e-02,1.276594544860596703e-01,1.031102248939467642e-01,4.580117721480435333e-02,4.470523725872126153e-02,6.960091516323303404e-03,2.165770003619611403e-02
2.000000000000000000e+01,6.411411221657058457e-01,2.746933180722787027e-01,9.690685835389612618e-03,1.089852862588275295e-02,1.222723279465452902e-02,1.591311590415935354e-02,2.416925957294275076e-02,1.299748572044690572e-03,5.535155330322776013e-03,4.431833126618924153e-03
2.100000000000000000e+01,8.381835773066368400e-01,6.924977833231024671e-02,4.134655062364887834e-02,1.444697566071321757e-03,5.153137975661916184e-03,9.274731235094178100e-03,2.258269047485538319e-02,1.964838586243445283e-03,1.785846870535183224e-03,9.014151028942447158e-03
2.200000000000000000e+01,4.029870887716402450e-01,5.224634735890877450e-03,2.034894710858444269e-02,2.012087357697646059e-02,1.795980082304693970e-01,2.575943140363868775e-02,1.909758381241212222e-01,6.679904448963866481e-02,1.443535065427030938e-02,7.375078290476969056e-02
2.300000000000000000e+01,7.944792513701077752e-01,3.333348821742949161e-03,1.550669105042238628e-02,3.110067151474311606e-02,6.870728468085567087e-02,2.270705151024397100e-02,1.878332367633885752e-02,1.997544896505594816e-02,1.074718242376631249e-03,2.433221016811275977e-02
2.400000000000000000e+01,4.293214923699212870e-01,1.509147365396441287e-01,1.429829311997677125e-03,4.313502507860890456e-02,2.105335298788303319e-02,6.764164580777536073e-02,4.997926096602024054e-02,2.144251194994618304e-01,1.530837327979292549e-03,2.056870011070816712e-02
2.500000000000000000e+01,7.408500785550108381e-01,3.892247007223940264e-02,5.962735872264020992e-02,2.412250156818990417e-03,2.185026648300603461e-02,2.463493459769764901e-02,1.775569971815463277e-02,7.881208020864190200e-02,2.137303984366152512e-03,1.299755750142406532e-02
2.600000000000000000e+01,2.413127478456241204e-01,5.402905389454846358e-02,5.692551913465346454e-03,3.291376662958530042e-01,1.657165620520724136e-01,4.707354404564527417e-02,6.313378645140972634e-02,7.611551452474316082e-03,3.353032964563849947e-03,8.293950308434348828e-02
2.700000000000000000e+01,1.791053276439370234e-01,4.868190325790157369e-02,3.246572858486371227e-01,9.043448869136201662e-02,8.075514000401678993e-02,1.142545271799488560e-01,1.174881836754317066e-01,5.911189986942493729e-03,1.832938570241010937e-02,2.038256800941226285e-02
2.800000000000000000e+01,3.836097546631598298e-01,1.345002342856767589e-03,2.473797404334896616e-02,2.464357730600835045e-02,2.060395463079688905e-01,2.758844143140706112e-02,5.024896372836516745e-02,2.321197374636473632e-01,2.557622436980312372e-02,2.409077834343447549e-02
2.900000000000000000e+01,4.805002032851722893e-01,1.542719735787002845e-03,8.244425117573915551e-03,1.779693488192764933e-02,1.187426280218683017e-01,5.964389975992334669e-02,3.407965850623068116e-02,1.743033291132383145e-01,7.999737004173605726e-02,2.514883153654242157e-02
3.000000000000000000e+01,8.159978083901522350e-01,2.585748689385702730e-03,1.603990224686607444e-02,3.269918901667814761e-03,8.996079066037816763e-02,3.165186489207654635e-02,2.097695845056955083e-02,1.475538176011306248e-02,1.759472050894118553e-03,3.002153957896639639e-03
3.100000000000000000e+01,4.116724578940438306e-01,3.462166219256175570e-02,4.673763471367499769e-03,2.974596552500938795e-01,3.583306283636365080e-02,5.708318806117287231e-02,3.353446526152502327e-02,2.003929506827694523e-02,1.548663426398567966e-03,1.035337865381959627e-01
3.200000000000000000e+01,8.981323266819740692e-01,1.375003360258283958e-02,1.446739363797603338e-02,7.179928502310381142e-04,1.211928465580492005e-02,2.209548781927710061e-03,1.632484933563291968e-02,3.696840465009731957e-03,2.529872310745188220e-04,3.832874275778622858e-02
3.300000000000000000e+01,6.975946373455361726e-01,2.487347790591905305e-02,9.118660798391646852e-03,4.687224279238634203e-03,2.394441400282204882e-02,1.196498411909146554e-02,1.077375949472834521e-01,8.307969029011696982e-02,2.145563750121645859e-03,3.485375256147900391e-02
3.400000000000000000e+01,4.237991056535515000e-01,2.032915022335023310e-03,6.135182315227007133e-02,3.658913237998710766e-02,1.358252064255418001e-01,5.869812219076295939e-02,4.104682679958460839e-02,1.211970021606394027e-01,7.898743263295834871e-02,4.047243358236914113e-02
3.500000000000000000e+01,2.318841665028194277e-01,2.088739117165484133e-02,1.914639246107092269e-02,3.868379974174757652e-01,1.036238668171542282e-01,5.291744239758293389e-02,7.692710548773736001e-02,2.093839426260252906e-02,1.020546845863323435e-02,7.663177502326870560e-02
3.600000000000000000e+01,3.730272554629393555e-01,1.251518760287204102e-02,5.391694669144585228e-02,1.639223305092109562e-01,4.694079801853477674e-02,2.789012347155683247e-01,9.874037232230998759e-03,3.297827665755707210e-02,9.526296972581463785e-04,2.697130341238249823e-02
3.700000000000000000e+01,8.395262093663206082e-01,1.240679983398697110e-02,5.594791325334142439e-03,4.584421425301152958e-02,1.772796016551274681e-02,1.526393055656925790e-02,1.917105986810527934e-02,2.298209649484151545e-02,9.547993922029629141e-04,2.052813874411519440e-02
3.800000000000000000e+01,9.130356533096307681e-01,2.293288365090069385e-03,4.094856163905816887e-03,6.154225066627543039e-04,4.726921325759304848e-02,1.125551791765390559e-02,8.075531706932011569e-03,6.320414705033828087e-03,1.297790835175737650e-03,5.742311232322160584e-03
3.900000000000000000e+01,9.388534424987501348e-01,8.268257428164789424e-03,7.461655842195313686e-03,1.136287852187762128e-03,1.345756144677582623e-02,7.508843520805032201e-03,2.626837565256455280e-03,6.868847486651857674e-03,1.174510852915997081e-03,1.264375550629695186e-02
4.000000000000000000e+01,4.503792851301390288e-01,7.273135339183328663e-02,1.318671736232746028e-02,7.195264538849364955e-02,2.008252917532675208e-01,1.023515211845115874e-01,4.278344357647411583e-02,2.262337675148449675e-02,8.610495802401725920e-03,1.455586965906713673e-02
4.100000000000000000e+01,7.857826821356900249e-01,5.298874644116895530e-03,9.543790633090257214e-03,4.589234644009529060e-03,4.439357228516114390e-02,6.224396453239260107e-02,2.131213415257188215e-02,3.082570683728654698e-02,3.099613118421484619e-03,3.291042701725962333e-02
4.200000000000000000e+01,7.082234511007573508e-01,1.055591103225379801e-01,1.475018255688849032e-03,1.498895896867102895e-02,5.704075583322276710e-02,4.025389446385680033e-03,2.982430745474443090e-02,5.265082546288731014e-02,7.673184768371641915e-03,1.853899838673285852e-02
4.300000000000000000e+01,2.594055725720659233e-01,5.222241143264298941e-04,2.883598903269839475e-01,2.415735811149340422e-03,3.955958071460772413e-02,1.149360102262586975e-01,2.577869794256619149e-02,1.452648689950904737e-01,1.872473182257547442e-02,1.050326874743758021e-01
4.400000000000000000e+01,5.802041808731449590e-01,5.867527621028057090e-03,9.557391820877400579e-02,2.970681601231791105e-02,5.122556614130595320e-02,1.348763417282833887e-01,2.109325847713579977e-02,5.630537464549767446e-02,1.510497061119995231e-02,1.004204568131212595e-02
4.500000000000000000e+01,7.076396849571582326e-01,3.051142153801977841e-02,5.102460347300351307e-03,5.522542043389273847e-02,5.909137415802208360e-02,1.182071866139971887e-02,7.602420185057720547e-02,1.252469516178932908e-02,9.158659872916190270e-03,3.290136301892455928e-02
4.600000000000000000e+01,4.392467121094060789e-01,5.026544699438335595e-01,1.700243391206464295e-03,3.438501820576279726e-03,2.059373563297885873e-02,1.651850841146387805e-02,1.101548953936050228e-02,2.731525714503126208e-03,7.912544803724876888e-04,1.309558956298627038e-03
4.700000000000000000e+01,6.892454181700639060e-01,2.138580293942506927e-01,5.741171079901433334e-03,9.810826145398281878e-03,3.475453884428131995e-02,1.514227007465659622e-02,2.057672862661011348e-02,1.451510795258570841e-03,3.896259081421676266e-03,5.523247788157405018e-03
4.800000000000000000e+01,8.864462671339772282e-01,3.049468920716606052e-02,8.659189231763730898e-03,3.342112686120194028e-03,2.310850937566539393e-02,2.092049930026178978e-02,1.448354940113849576e-02,1.994767531929307180e-03,9.497199235880849364e-04,9.600696208389901398e-03
4.900000000000000000e+01,2.910843610777237300e-01,8.527183249756551189e-03,1.159743010469629259e-03,1.600661506355304520e-01,5.825818752716037385e-02,1.793133449195949969e-01,1.203616835896871226e-02,2.744059975325966461e-01,2.715685644996248052e-04,1.487729512369941054e-02
5.000000000000000000e+01,6.321843851570857487e-01,3.866806884810398970e-02,4.157068581134132010e-03,6.970877486956299218e-02,5.073851015265725545e-02,6.933340734571280528e-02,6.897116710480942492e-02,3.887211268189704610e-02,1.594283942542770033e-02,1.142366583360881517e-02
5.100000000000000000e+01,4.043362114799273210e-01,4.239200234372126341e-01,1.395561012516824684e-01,1.960596299727718986e-03,5.725598636887568871e-03,1.765777721291143798e-02,5.219595261107302930e-03,2.894092209505841432e-05,7.744192327103446329e-04,8.207362657381330742e-04
5.200000000000000000e+01,2.836523848661283154e-01,1.243980483156258057e-03,3.905580778664884400e-01,6.000138261343148510e-02,1.418513360311464966e-01,7.216585767398550622e-02,3.262790096161218012e-02,8.333165028495039678e-03,6.407735861614196129e-03,3.158178613942090075e-03
5.300000000000000000e+01,1.683485156053126097e-01,7.501101376923580491e-03,5.255806045536350751e-03,3.815759629534670738e-01,1.176198649550657949e-01,1.359887920050066035e-01,1.575305947054286559e-01,8.342248699575411514e-03,7.022104730503582470e-03,1.081500892318038552e-02
5.400000000000000000e+01,4.867035439526656293e-01,6.710915700385860008e-03,5.244582942638267376e-04,3.545865380314505710e-02,2.271127057064821209e-01,6.720688280269865311e-02,5.057987067988722885e-02,9.936423413197896515e-02,3.872830116772391952e-03,2.246590481172033166e-02
5.500000000000000000e+01,4.876124250264860654e-02,3.457791813505716773e-03,7.538063935134273752e-01,3.973292482693236739e-03,6.716125741066195087e-02,7.538820707820219347e-02,2.114185601205655074e-02,3.806212330079702076e-03,2.050563806339524009e-02,1.998108793329470435e-03
5.600000000000000000e+01,1.415321801327831808e-01,4.268661464777068378e-03,3.676151220784630302e-01,8.812607823601359414e-02,1.975321807125413054e-01,4.361770832313160984e-02,8.974785510199929928e-02,1.306786284582043232e-02,2.640711791342163078e-02,2.808523319104881330e-02
5.700000000000000000e+01,3.759833009300599105e-02,4.015418016980926846e-03,6.524125793234873683e-02,2.545621058961937758e-02,3.475155065969245949e-01,3.255288574284934122e-02,1.515867852441452057e-01,3.475708482789970077e-02,1.678776572994676308e-01,1.333988636567584318e-01
5.800000000000000000e+01,8.911315995638104948e-01,1.875508539758754048e-02,2.508465611258444555e-02,6.659865384744913719e-04,1.975627698653104405e-02,4.828055366165565250e-03,1.139745866791171992e-02,1.332308139830258586e-02,4.861615419984164537e-04,1.457163842663362040e-02
5.900000000000000000e+01,1.058160790821429525e-02,1.765748902131269570e-03,4.825466879515500906e-01,9.388885658979164231e-03,2.374450859426263105e-01,1.760960584965259312e-01,1.340991841155902975e-02,5.042595882302862258e-03,5.658558935759418207e-02,7.137821488516921282e-03
6.000000000000000000e+01,6.753348534848789830e-01,7.008105597241712226e-02,3.379662616887946225e-02,5.531947667716580544e-03,5.194629699200593864e-02,5.918596283089171128e-02,5.497730744528358388e-02,3.219719575666026706e-02,2.770883847447576983e-03,1.417786983381879098e-02
6.100000000000000000e+01,6.976611092996427566e-01,5.113902338274098000e-03,6.055348833592382081e-03,8.872916623924741175e-02,5.563480334526969828e-02,3.604616291855181759e-02,6.064062390765902893e-02,1.589651350870464191e-02,3.545408588326583090e-03,3.067696102073155795e-02
